s15_kw,s16_kw,s1_kw
11.437,12.199,0.76
12.341,13.163,0.82
12.434,13.262,0.83
12.448,13.277,0.83
12.575,13.413,0.84
10.126,10.801,0.68
7.693,8.207,0.51
4.569,4.874,0.31
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.946,2.075,0.13
4.01,4.278,0.27
8.065,8.603,0.54
11.824,12.613,0.79
9.804,10.459,0.66
11.676,12.456,0.78
10.767,11.484,0.72
9.577,10.215,0.64
7.187,7.666,0.48
4.181,4.461,0.28
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.575,4.88,0.31
6.603,7.043,0.44
6.934,7.396,0.46
9.675,10.32,0.65
9.779,10.432,0.65
11.716,12.497,0.78
11.438,12.2,0.76
9.59,10.228,0.64
6.218,6.633,0.42
2.979,3.178,0.2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.067,2.205,0.14
4.328,4.616,0.29
7.017,7.484,0.47
11.637,12.413,0.78
11.663,12.44,0.78
13.561,14.466,0.91
13.138,14.014,0.88
10.023,10.69,0.67
6.959,7.423,0.46
3.613,3.854,0.24
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.614,3.855,0.24
6.154,6.565,0.41
8.869,9.46,0.59
12.462,13.293,0.83
12.524,13.359,0.84
11.274,12.026,0.75
9.101,9.708,0.61
7.89,8.416,0.53
5.498,5.865,0.37
3.343,3.566,0.22
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.468,0.498,0.03
3.325,3.547,0.22
5.81,6.198,0.39
4.679,4.991,0.31
5.999,6.398,0.4
5.722,6.103,0.38
1.918,2.046,0.13
1.631,1.739,0.11
1.436,1.532,0.1
0.594,0.633,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.3,1.387,0.09
2.26,2.411,0.15
6.285,6.704,0.42
6.09,6.496,0.41
3.508,3.743,0.24
2.24,2.389,0.15
3.423,3.651,0.23
1.344,1.433,0.09
0.898,0.958,0.06
0.264,0.282,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.657,3.9,0.24
4.683,4.995,0.31
6.021,6.422,0.4
8.028,8.562,0.53
11.891,12.684,0.79
11.621,12.396,0.78
11.005,11.739,0.73
7.847,8.369,0.52
4.395,4.688,0.29
0.921,0.981,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.2,1.281,0.08
5.251,5.601,0.35
5.718,6.1,0.38
3.404,3.63,0.23
3.272,3.491,0.22
6.252,6.669,0.42
6.952,7.415,0.46
5.043,5.379,0.34
2.095,2.235,0.14
1.072,1.144,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.523,4.825,0.3
8.157,8.701,0.54
9.902,10.562,0.66
10.542,11.244,0.7
12.346,13.17,0.82
10.046,10.716,0.67
10.784,11.504,0.72
8.836,9.425,0.59
4.247,4.53,0.28
3.416,3.645,0.23
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.456,2.619,0.16
4.374,4.665,0.29
2.77,2.954,0.18
2.202,2.348,0.15
4.942,5.271,0.33
5.099,5.439,0.34
0.958,1.022,0.06
0.409,0.437,0.03
0.699,0.745,0.05
0.643,0.686,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.875,4.133,0.26
7.265,7.749,0.48
10.461,11.158,0.7
11.877,12.669,0.79
13.349,14.239,0.89
12.231,13.047,0.82
10.186,10.865,0.68
11.013,11.747,0.73
7.571,8.076,0.51
4.728,5.043,0.32
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.95,3.146,0.2
7.719,8.234,0.52
11.092,11.832,0.74
13.019,13.886,0.87
13.833,14.754,0.92
13.999,14.932,0.93
12.28,13.098,0.82
9.184,9.796,0.61
5.69,6.069,0.38
4.214,4.495,0.28
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.879,4.137,0.26
7.852,8.376,0.52
10.267,10.951,0.68
11.002,11.736,0.73
12.83,13.684,0.85
13.929,14.856,0.93
11.205,11.951,0.75
10.131,10.807,0.68
7.42,7.914,0.49
3.218,3.432,0.21
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5.102,5.442,0.34
7.515,8.017,0.5
10.433,11.129,0.7
12.933,13.796,0.86
12.828,13.684,0.86
12.756,13.607,0.85
12.955,13.819,0.86
8.901,9.494,0.59
7.421,7.915,0.49
4.496,4.796,0.3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.588,2.76,0.17
7.416,7.911,0.5
6.62,7.061,0.44
6.563,7,0.44
8.83,9.419,0.59
10.949,11.679,0.73
10.171,10.849,0.68
8.859,9.449,0.59
3.328,3.551,0.22
1.352,1.441,0.09
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.667,3.911,0.24
6.254,6.671,0.42
7.059,7.53,0.47
10.634,11.344,0.71
12.599,13.439,0.84
9.827,10.481,0.65
11.291,12.045,0.75
9.668,10.313,0.65
6.641,7.084,0.44
3.718,3.966,0.25
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.668,0.713,0.05
1.512,1.612,0.1
3.55,3.786,0.24
9.14,9.75,0.61
8.886,9.478,0.59
9.505,10.138,0.63
4.257,4.54,0.28
3.505,3.738,0.23
3.492,3.725,0.23
1.029,1.097,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.068,1.139,0.07
3.145,3.355,0.21
7.368,7.86,0.49
6.642,7.086,0.44
7.763,8.28,0.52
5.313,5.668,0.36
3.723,3.972,0.25
3.352,3.576,0.22
2.197,2.343,0.15
0.616,0.657,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.854,4.11,0.26
5.897,6.29,0.39
7.906,8.433,0.53
9.152,9.762,0.61
10.116,10.791,0.68
12.178,12.99,0.81
7.62,8.128,0.51
3.177,3.388,0.21
2.441,2.605,0.16
3.337,3.559,0.22
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.857,4.114,0.26
6.563,7.002,0.44
9.302,9.922,0.62
12.886,13.744,0.86
13.818,14.739,0.92
14.591,15.563,0.97
12.984,13.85,0.87
11.403,12.163,0.76
6.911,7.371,0.46
4.295,4.582,0.29
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.846,0.902,0.06
2.347,2.504,0.16
3.644,3.887,0.24
2.311,2.466,0.16
2.647,2.824,0.18
4.02,4.287,0.27
2.691,2.869,0.18
1.128,1.204,0.08
2.401,2.561,0.16
2.542,2.712,0.17
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.381,1.473,0.09
2.909,3.103,0.19
6.194,6.608,0.41
9.038,9.641,0.6
4.136,4.413,0.28
7.213,7.695,0.48
6.428,6.857,0.43
6.52,6.954,0.43
2.691,2.871,0.18
0.939,1.001,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.948,1.012,0.06
1.095,1.167,0.07
6.956,7.419,0.46
5.159,5.503,0.34
4.948,5.279,0.33
3.17,3.381,0.21
4.103,4.377,0.27
2.624,2.799,0.18
3.013,3.214,0.2
0.752,0.801,0.05
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.788,4.041,0.25
5.459,5.823,0.36
10.481,11.181,0.7
13.768,14.685,0.92
12.517,13.352,0.84
10.52,11.221,0.7
8.719,9.3,0.58
7.291,7.778,0.49
7.055,7.526,0.47
4.292,4.579,0.29
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.867,5.192,0.33
6.095,6.501,0.41
7.369,7.86,0.49
11.091,11.831,0.74
6.971,7.436,0.47
7.995,8.527,0.53
7.326,7.814,0.49
6.988,7.454,0.47
3.326,3.547,0.22
2.511,2.677,0.17
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.872,3.064,0.19
5.095,5.435,0.34
8.195,8.742,0.55
11.457,12.22,0.76
13.455,14.351,0.9
13.216,14.096,0.88
12.732,13.581,0.85
9.686,10.332,0.65
6.259,6.676,0.42
4.161,4.438,0.28
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.845,0.901,0.06
2.113,2.255,0.14
1.883,2.009,0.13
2.008,2.143,0.14
3.434,3.663,0.23
8.268,8.819,0.55
3.994,4.26,0.27
1.914,2.041,0.13
2.499,2.665,0.17
2.084,2.224,0.14
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.967,4.232,0.27
3.258,3.475,0.22
3.343,3.565,0.22
5.788,6.173,0.39
6.676,7.121,0.45
6.215,6.629,0.41
5.291,5.644,0.35
3.443,3.673,0.23
3.725,3.974,0.25
1.559,1.662,0.1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.888,2.013,0.13
4.418,4.713,0.3
5.773,6.158,0.39
5.737,6.119,0.38
11.535,12.305,0.77
11.752,12.535,0.78
4.789,5.108,0.32
5.385,5.744,0.36
5.623,5.998,0.38
3.617,3.857,0.24
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.974,1.038,0.06
3.614,3.855,0.24
2.993,3.193,0.2
4.17,4.449,0.28
9.668,10.312,0.64
10.996,11.729,0.73
7.456,7.952,0.5
2.538,2.708,0.17
1.839,1.962,0.12
1.102,1.174,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.479,3.712,0.23
7.208,7.688,0.48
10.336,11.025,0.69
13.341,14.231,0.89
14.064,15.002,0.94
13.197,14.076,0.88
11.429,12.191,0.76
9.188,9.802,0.61
6.669,7.115,0.45
3.736,3.985,0.25
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.295,2.447,0.15
4.231,4.513,0.28
10.425,11.12,0.7
12.178,12.99,0.81
13.213,14.094,0.88
13.526,14.429,0.9
11.128,11.871,0.74
7.179,7.657,0.48
6.29,6.709,0.42
3.468,3.7,0.23
1.467,1.564,0.1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.051,1.121,0.07
1.21,1.29,0.08
0.787,0.84,0.05
0.813,0.868,0.06
1.245,1.327,0.08
1.095,1.168,0.07
2.197,2.343,0.15
1.526,1.627,0.1
1.092,1.165,0.07
0.192,0.204,0.01
0.589,0.629,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.509,2.676,0.17
2.686,2.866,0.18
2.984,3.182,0.2
2.923,3.117,0.19
2.057,2.194,0.14
2.932,3.127,0.2
3.865,4.123,0.26
4.464,4.762,0.3
3.028,3.231,0.2
0.936,0.998,0.06
0.176,0.188,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.039,3.243,0.2
6.068,6.473,0.41
9.077,9.681,0.6
11.118,11.86,0.74
12.298,13.118,0.82
13.475,14.373,0.9
12.806,13.66,0.85
10.342,11.032,0.69
7.216,7.698,0.48
2.891,3.083,0.19
1.659,1.77,0.11
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.14,1.216,0.08
3.285,3.505,0.22
8.925,9.52,0.6
11.006,11.741,0.74
12.064,12.869,0.81
11.652,12.429,0.78
10.57,11.275,0.71
11.248,11.997,0.75
4.999,5.333,0.33
3.31,3.53,0.22
0.173,0.185,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.64,0.682,0.04
2.4,2.56,0.16
3.62,3.86,0.24
6.537,6.972,0.44
9.356,9.979,0.62
9.906,10.567,0.66
10.05,10.721,0.67
6.85,7.306,0.46
2.82,3.008,0.19
1.539,1.642,0.1
0.191,0.205,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.67,1.782,0.11
1.366,1.457,0.09
3.323,3.545,0.22
3.691,3.937,0.25
4.652,4.963,0.31
5.067,5.405,0.34
4.962,5.292,0.33
4.168,4.446,0.28
3.453,3.682,0.23
1.003,1.07,0.07
0.113,0.121,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.137,2.28,0.14
3.752,4.003,0.25
8.268,8.82,0.55
9.24,9.856,0.62
12.8,13.653,0.85
13.567,14.472,0.91
11.835,12.625,0.79
10.601,11.307,0.71
7.3,7.787,0.49
3.326,3.548,0.22
0.408,0.435,0.03
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.525,4.827,0.3
6.597,7.037,0.44
9.781,10.432,0.65
11.003,11.736,0.73
10.323,11.01,0.69
12.64,13.483,0.84
12.51,13.345,0.84
10.017,10.685,0.67
7.596,8.103,0.51
3.927,4.19,0.26
2.142,2.285,0.14
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.69,1.802,0.11
4.09,4.362,0.27
7.822,8.343,0.52
10.758,11.475,0.72
12.46,13.29,0.83
14.103,15.044,0.94
14.247,15.198,0.95
11.205,11.952,0.75
10.012,10.679,0.67
7.819,8.341,0.52
4.106,4.38,0.27
1.361,1.452,0.09
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.405,1.5,0.1
4.354,4.645,0.29
6.7,7.146,0.45
10.364,11.054,0.69
12.54,13.376,0.84
14.316,15.27,0.95
13.813,14.733,0.92
12.03,12.831,0.8
10.335,11.025,0.69
7.49,7.988,0.5
4.53,4.832,0.3
2.699,2.88,0.18
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.17,0.181,0.01
2.229,2.379,0.15
5.604,5.978,0.37
9.062,9.666,0.6
8.452,9.015,0.56
12.64,13.482,0.84
12.072,12.877,0.81
11.415,12.177,0.76
9.75,10.4,0.65
6.615,7.056,0.44
2.88,3.071,0.19
1.974,2.106,0.13
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.833,1.955,0.12
4.68,4.991,0.31
8.076,8.615,0.54
10.082,10.753,0.67
12.905,13.766,0.86
13.862,14.786,0.92
12.066,12.869,0.8
9.984,10.65,0.67
8.639,9.216,0.58
6.929,7.39,0.46
4.065,4.335,0.27
1.562,1.667,0.11
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.951,2.081,0.13
2.426,2.588,0.16
5.304,5.659,0.36
7.796,8.315,0.52
9.297,9.917,0.62
11.576,12.348,0.77
13.053,13.924,0.87
11.634,12.41,0.78
9.847,10.504,0.66
5.208,5.555,0.35
3.413,3.641,0.23
0.583,0.622,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.61,1.718,0.11
1.35,1.44,0.09
5.047,5.384,0.34
4.429,4.723,0.29
10.553,11.256,0.7
8.304,8.857,0.55
5.822,6.21,0.39
5.995,6.395,0.4
7.339,7.828,0.49
1.403,1.498,0.1
0.866,0.924,0.06
0.974,1.039,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.502,0.534,0.03
2.691,2.87,0.18
3.937,4.199,0.26
7.635,8.144,0.51
11.15,11.893,0.74
10.918,11.646,0.73
7.4,7.893,0.49
6.776,7.228,0.45
6.572,7.01,0.44
6.613,7.053,0.44
3.633,3.875,0.24
0.702,0.748,0.05
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.417,1.511,0.09
4.308,4.596,0.29
6.703,7.149,0.45
8.778,9.363,0.59
8.047,8.583,0.54
9.246,9.861,0.62
7.243,7.725,0.48
5.84,6.23,0.39
8.167,8.713,0.55
4.178,4.457,0.28
4.098,4.37,0.27
1.154,1.231,0.08
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.823,0.878,0.06
3.691,3.938,0.25
4.922,5.25,0.33
6.533,6.968,0.44
9.781,10.432,0.65
12.724,13.573,0.85
8.798,9.384,0.59
9.292,9.911,0.62
10.114,10.789,0.68
5.272,5.622,0.35
2.443,2.606,0.16
1.427,1.522,0.1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.922,0.983,0.06
1.882,2.008,0.13
4.438,4.734,0.3
3.851,4.109,0.26
5.443,5.806,0.36
3.826,4.081,0.26
8.941,9.538,0.6
8.171,8.715,0.54
9.729,10.377,0.65
8.122,8.663,0.54
2.293,2.446,0.15
0.446,0.477,0.03
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.898,0.957,0.06
3.599,3.838,0.24
7.559,8.062,0.5
9.722,10.37,0.65
11.939,12.735,0.8
12.894,13.754,0.86
14.005,14.939,0.93
10.377,11.07,0.69
8.736,9.319,0.58
6.969,7.433,0.46
5.219,5.566,0.35
1.952,2.083,0.13
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.843,1.965,0.12
3.523,3.759,0.24
2.692,2.873,0.18
7.979,8.51,0.53
7.613,8.12,0.51
7.956,8.486,0.53
6.095,6.502,0.41
8.548,9.119,0.57
7.729,8.244,0.52
6.813,7.268,0.46
3.622,3.863,0.24
2.106,2.247,0.14
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.29,0.31,0.02
1.8,1.92,0.12
1.618,1.727,0.11
2.825,3.012,0.19
5.582,5.954,0.37
3.593,3.832,0.24
3.73,3.979,0.25
3.34,3.562,0.22
4.943,5.272,0.33
3.204,3.418,0.21
1.142,1.218,0.08
0.337,0.358,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.24,0.255,0.02
1.298,1.386,0.09
1.97,2.102,0.13
6.466,6.898,0.43
7.091,7.565,0.47
9.63,10.272,0.64
9.623,10.264,0.64
9.743,10.392,0.65
9,9.599,0.6
6.25,6.668,0.42
3.67,3.915,0.25
1.493,1.593,0.1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.215,0.23,0.02
1.521,1.622,0.1
2.301,2.454,0.15
5.547,5.917,0.37
6.478,6.909,0.43
2.95,3.147,0.2
4.821,5.142,0.32
3.319,3.541,0.22
1.618,1.725,0.11
1.152,1.229,0.08
0.746,0.796,0.05
0.093,0.1,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.591,1.698,0.11
4.138,4.414,0.28
7.311,7.797,0.49
9.399,10.025,0.63
9.826,10.481,0.66
11.394,12.154,0.76
10.983,11.716,0.73
10.689,11.402,0.71
9.975,10.639,0.66
8.178,8.723,0.55
4.729,5.044,0.32
1.497,1.596,0.1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.598,0.638,0.04
3.329,3.551,0.22
5.569,5.939,0.37
8.503,9.071,0.57
12.205,13.018,0.81
11.467,12.231,0.76
9.719,10.367,0.65
11.678,12.457,0.78
8.752,9.336,0.58
5.508,5.874,0.37
3.137,3.347,0.21
1.422,1.517,0.1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.029,1.097,0.07
3.284,3.504,0.22
5.477,5.841,0.36
9.871,10.529,0.66
10.207,10.888,0.68
9.871,10.529,0.66
11.402,12.161,0.76
11.736,12.517,0.78
8.784,9.37,0.59
7.084,7.555,0.47
4.488,4.788,0.3
1.211,1.292,0.08
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.239,1.323,0.08
3.869,4.126,0.26
7.462,7.959,0.5
10.263,10.947,0.68
11.653,12.43,0.78
12.153,12.964,0.81
11.307,12.06,0.75
12.589,13.429,0.84
8.459,9.023,0.56
6.771,7.223,0.45
3.039,3.243,0.2
1.005,1.073,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.602,1.708,0.11
4.791,5.111,0.32
8.796,9.382,0.59
11.51,12.278,0.77
12.124,12.933,0.81
13.067,13.937,0.87
12.969,13.834,0.87
10.932,11.661,0.73
10.296,10.982,0.69
8.587,9.16,0.57
4.599,4.905,0.31
1.744,1.859,0.12
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.839,0.895,0.06
3.252,3.47,0.22
7.573,8.077,0.5
8.625,9.199,0.57
9.795,10.449,0.65
11.513,12.281,0.77
13.096,13.969,0.87
11.56,12.332,0.77
5.594,5.967,0.37
1.817,1.937,0.12
1.549,1.652,0.1
0.457,0.489,0.03
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
